StationName, StationID
352::"20032 - AMANDIERS",20032
353::"20033 - ETIENNE DOLET",20033
354::"20034 - SORBIER - M�NILMONTANT",20034
355::"20035 - PYRENEES",20035
356::"20036 - MENILMONTANT - PELLEPORT",20036
357::"20037 - SAINT FARGEAU",20037
358::"20038 - LEON FRAPIE",20038
359::"20040 - PARC DE BELLEVILLE",20040
360::"20041 - BELLEVILLE",20041
361::"20042 - PYRENEES ERMITAGE",20042
362::"20043 - CHARONNE AVRON",20043
363::"20044 - DAVOUT VOLGA",20044
364::"20045 - LOUIS GANNE",20045
365::"20047 - COURS DE VINCENNES BD DAVOUT",20047
366::"20103 - LE VAU BERTEAUX",20103
367::"20104 - RUE LOUIS LUMI�RE",20104
368::"20105 - GAUMONT",20105
369::"20106 - MAIRIE DU 20�ME",20106
370::"20108 - HOSPICE DEBROUSSE",20108
371::"20109 - SURMELIN HAXO",20109
372::"20110 - PORTE DES LILAS",20110
373::"20111 - L\u0027ISLE ADAM PYREN�ES",20111
374::"20112 - JOURDAIN",20112
375::"20113 - PARC DE BELLEVILLE",20113
376::"20115 - PORTE DE BAGNOLET",20115
377::"20116 - HAIES REUNION",20116
378::"20117 - SAINT FARGEAU MORTIER",20117
379::"20118 - ORTEAUX MOURAUD",20118
380::"20119 - SQUARE DE MENILMONTANT",20119
381::"20121 - MENILMONTANT BOYER",20121
382::"20131 - REPOS",20131
383::"20503 - COURS DE VINCENNES PYR�N�ES",20503
384::"21011 - SILLY (BOULOGNE BILLANCOURT)",21011
385::"21014 - HAMEAU FLEURI (BOULOGNE-BILLANCOURT)",21014
386::"21101 - VALITON (CLICHY)",21101
387::"21105 - MORICE (CLICHY)",21105
388::"21106 - MORICE 2 (CLICHY)",21106
389::"21109 - GUICHET (CLICHY)",21109
390::"21204 - D\u0027ORVES (MONTROUGE)",21204
391::"21206- PERI (MONTROUGE)",21206
392::"21208 - CARVES (MONTROUGE)",21208
393::"21210 - PERI 2 (MONTROUGE)",21210
394::"21308 - LASSERRE (ISSY LES MOULINEAUX)",21308
395::"21702 - BASCH (VANVES)",21702
396::"21706 - BLEUZEN (VANVES)",21706
397::"21707 - PASTEUR (VANVES)",21707
398::"22005- DE GAULLE 3 (NEUILLY)",22005
